rank,frame_index,filename,raw_score,smooth_score,reasons
172,3460,003460.png,0.05239340,0.03533231,dense_motion|very_dense_motion
173,3465,003465.png,0.03623352,0.03751243,very_dense_motion
174,3470,003470.png,0.03540413,0.03636481,dense_motion|very_dense_motion
175,3475,003475.png,0.05466932,0.03929099,very_dense_motion
176,3480,003480.png,0.03139658,0.03993050,base|dense_motion|very_dense_motion
177,3485,003485.png,0.04064931,0.04139621,very_dense_motion
178,3490,003490.png,0.07328828,0.04312705,dense_motion|very_dense_motion
179,3495,003495.png,0.04858223,0.04113106,very_dense_motion
180,3500,003500.png,0.05504624,0.04268566,dense_motion|very_dense_motion
181,3505,003505.png,0.03458141,0.04269343,very_dense_motion
182,3510,003510.png,0.02133473,0.04011961,dense_motion|very_dense_motion
183,3515,003515.png,0.03007483,0.03954611,very_dense_motion
184,3520,003520.png,0.08266051,0.03612884,base|dense_motion|very_dense_motion
185,3525,003525.png,0.02705613,0.03687526,very_dense_motion
186,3530,003530.png,0.03767253,0.03977572,dense_motion|very_dense_motion
187,3535,003535.png,0.02251288,0.03887793,very_dense_motion
188,3540,003540.png,0.05436411,0.03844023,dense_motion|very_dense_motion
189,3545,003545.png,0.04686808,0.03973480,very_dense_motion
190,3560,003560.png,0.03822990,0.03641942,base|dense_motion
191,3600,003600.png,0.03431546,0.03096543,base|dense_motion
192,3640,003640.png,0.02386897,0.02042323,base
193,3680,003680.png,0.00992108,0.01765636,base
194,3720,003720.png,0.02506757,0.02883832,base|dense_motion
195,3760,003760.png,0.01924181,0.02841177,base|dense_motion
196,3775,003775.png,0.03607951,0.03494771,very_dense_motion
197,3780,003780.png,0.02764431,0.03757727,dense_motion|very_dense_motion
198,3785,003785.png,0.05179864,0.04008232,very_dense_motion
199,3790,003790.png,0.05725144,0.04185015,dense_motion|very_dense_motion
200,3795,003795.png,0.04299437,0.04229961,very_dense_motion
201,3800,003800.png,0.04563243,0.04474576,base|dense_motion|very_dense_motion
202,3805,003805.png,0.04095531,0.04580864,very_dense_motion
203,3810,003810.png,0.04601043,0.04765107,dense_motion|very_dense_motion
204,3815,003815.png,0.05901940,0.04811762,very_dense_motion
205,3820,003820.png,0.04992829,0.04889312,dense_motion|very_dense_motion
206,3825,003825.png,0.05582576,0.04697150,very_dense_motion
207,3830,003830.png,0.04011381,0.04470297,dense_motion|very_dense_motion
208,3835,003835.png,0.03773344,0.04148875,very_dense_motion
209,3840,003840.png,0.02896211,0.03767845,base|dense_motion|very_dense_motion
210,3845,003845.png,0.03650448,0.03445692,very_dense_motion
211,3850,003850.png,0.03423268,0.03192080,dense_motion|very_dense_motion
212,3855,003855.png,0.03543913,0.03178996,very_dense_motion
213,3860,003860.png,0.02829997,0.03077486,dense_motion|very_dense_motion
214,3880,003880.png,0.02843582,0.02814422,base|dense_motion
215,3920,003920.png,0.02731728,0.02877624,base|dense_motion
216,3960,003960.png,0.03451403,0.02774566,base
217,4000,004000.png,0.02563283,0.03236708,base
218,4040,004040.png,0.03780226,0.02961796,base|dense_motion
219,4080,004080.png,0.02878243,0.02364884,base|dense_motion
220,4115,004115.png,0.01241688,0.02106850,very_dense_motion
221,4120,004120.png,0.02836794,0.02066905,base|dense_motion|very_dense_motion
222,4125,004125.png,0.02742043,0.02264914,very_dense_motion
223,4130,004130.png,0.01845350,0.02587867,dense_motion|very_dense_motion
224,4135,004135.png,0.02849199,0.03167542,very_dense_motion
225,4140,004140.png,0.03169949,0.03554219,dense_motion|very_dense_motion
226,4145,004145.png,0.04549536,0.04141399,very_dense_motion
227,4150,004150.png,0.04925617,0.04713722,dense_motion|very_dense_motion
228,4155,004155.png,0.05255884,0.04973353,very_dense_motion
229,4160,004160.png,0.06013273,0.05073970,base|dense_motion|very_dense_motion
